time,ax,ay,az
3.401247978210449,-0.2,0.09,0.17,0.27
3.411505937576294,-0.06,0.18,-0.12,0.22
3.448561906814575,0.14,0.03,-0.79,0.8
3.450326919555664,-0.02,0.11,-0.32,0.33
3.4517269134521484,-0.09,-0.07,0.54,0.55
3.453401803970337,0.05,0.03,-0.27,0.27
3.461603879928589,0.04,-0.12,0.09,0.15
3.4714767932891846,-0.07,-0.07,0.23,0.25
3.4816768169403076,-0.07,-0.09,-0.11,0.15
3.4915950298309326,-0.11,-0.03,0.04,0.12
3.5014960765838623,-0.1,0.0,-0.18,0.2
3.5117290019989014,-0.08,0.0,-0.14,0.16
3.5483038425445557,-0.04,0.03,0.0,0.05
3.5501821041107178,-0.07,0.03,-0.04,0.08
3.551499128341675,-0.09,0.01,0.03,0.09
3.553147077560425,-0.06,0.01,-0.01,0.06
3.5618550777435303,-0.03,0.0,-0.1,0.1
3.571877956390381,-0.02,0.0,-0.02,0.02
3.5820369720458984,-0.04,0.0,-0.13,0.13
3.592034101486206,-0.07,-0.01,-0.03,0.07
3.6019229888916016,-0.05,0.01,0.1,0.11
3.6120409965515137,-0.06,0.02,0.0,0.06
3.649568796157837,-0.11,0.02,0.0,0.11
3.651256799697876,-0.06,0.02,-0.05,0.08
3.652683973312378,-0.03,0.0,-0.05,0.05
3.6540558338165283,-0.07,0.0,-0.02,0.07
3.662146806716919,-0.1,-0.02,-0.12,0.15
3.67224383354187,-0.1,-0.03,0.01,0.1
3.6824729442596436,-0.06,-0.03,0.02,0.06
3.69242787361145,-0.03,-0.03,-0.08,0.09
3.702255964279175,-0.06,-0.03,0.09,0.11
3.712451934814453,-0.07,-0.02,-0.02,0.07
3.750027894973755,-0.04,-0.02,-0.01,0.04
3.751807928085327,-0.02,-0.01,0.05,0.05
3.7532169818878174,0.0,0.02,-0.12,0.12
3.7547860145568848,-0.04,0.01,-0.05,0.06
3.762781858444214,-0.04,0.01,0.17,0.17
3.7726171016693115,0.04,0.01,0.07,0.08
3.7828149795532227,0.06,0.0,-0.05,0.07
3.7928049564361572,-0.02,-0.01,-0.01,0.02
3.802656888961792,-0.07,0.0,0.05,0.08
3.8127710819244385,-0.02,-0.01,0.1,0.1
3.8494679927825928,0.06,-0.01,-0.09,0.1
3.8511300086975098,0.01,-0.01,-0.02,0.02
3.852431058883667,-0.05,-0.01,0.15,0.15
3.8539319038391113,-0.04,-0.02,-0.01,0.04
3.863179922103882,-0.03,-0.03,-0.02,0.04
3.8731179237365723,-0.01,-0.05,0.09,0.1
3.883155107498169,0.04,-0.03,0.05,0.07
3.8932368755340576,0.05,-0.02,-0.13,0.14
3.902987003326416,-0.01,0.0,0.0,0.01
3.913243055343628,0.0,0.01,-0.01,0.01
3.9493248462677,0.02,0.01,-0.07,0.07
3.9510958194732666,0.01,0.03,0.02,0.03
3.952310800552368,0.0,0.03,-0.06,0.06
3.953655958175659,-0.03,0.02,0.02,0.04
3.963552951812744,-0.03,0.01,0.0,0.03
3.9734909534454346,0.0,-0.01,0.01,0.01
3.9834001064300537,0.01,-0.02,0.04,0.04
3.993518114089966,0.01,-0.02,-0.05,0.05
4.003323793411255,-0.01,-0.04,-0.01,0.04
4.013678789138794,-0.02,-0.03,0.03,0.04
4.021424055099487,0.0,-0.02,0.0,0.02
4.049752950668335,-0.03,-0.01,0.04,0.05
4.051559925079346,-0.05,-0.01,0.08,0.09
4.052491903305054,-0.02,0.0,-0.09,0.09
4.060966968536377,-0.02,0.0,-0.21,0.21
4.071120977401733,-0.03,0.0,0.03,0.04
4.081309080123901,-0.04,0.01,0.11,0.11
4.091313123703003,0.0,-0.01,-0.02,0.02
4.101650953292847,0.0,0.0,-0.06,0.06
4.111257791519165,-0.01,-0.01,-0.05,0.05
4.121660947799683,0.0,-0.01,0.07,0.07
4.149132013320923,0.02,-0.01,0.08,0.08
4.150770902633667,0.06,0.0,0.19,0.19
4.151738882064819,0.11,0.02,0.01,0.11
4.161531925201416,0.11,0.01,-0.08,0.13
4.17155385017395,0.13,-0.01,0.16,0.2
4.181555986404419,0.21,-0.02,0.0,0.21
4.191594839096069,0.24,-0.03,0.07,0.25
4.201535940170288,0.22,-0.03,0.24,0.32
4.211967945098877,0.22,-0.03,0.12,0.25
4.222088098526001,0.02,0.01,-0.47,0.47
4.249483823776245,7.82,-0.77,-3.34,8.53
4.251335859298706,4.53,-0.74,12.62,13.42
4.252737998962402,-4.76,-0.75,11.72,12.67
4.261614084243774,-1.33,0.45,-5.18,5.36
4.271914958953857,-0.82,0.54,-13.58,13.61
4.28188681602478,8.79,-2.63,-10.21,13.72
4.292011022567749,4.73,-0.71,-11.48,12.43
4.301762819290161,-0.66,-0.09,-8.36,8.38
4.315979957580566,-11.47,3.51,10.5,15.94
4.353522062301636,-8.67,1.64,-14.26,16.76
